iter	Passed	Remaining
556	101557	1008557	101558	1010558	101559	1012559	101560	1015560	102561	1018561	102562	1021562	102563	1023563	102564	1025564	102565	1027565	103566	1029566	103567	1031567	103568	1033568	103569	10358	7813
570	1037570	104571	1039571	104572	1042572	104573	1045573	104574	1047574	105575	1049575	105576	1051576	105577	1053577	105578	1056578	105579	1058579	106580	1060580	106581	1062581	106582	1064582	106583	1066583	107584	1069584	107585	1071585	107586	10732	7551
587	1075587	107588	1077588	108589	1079589	108590	1081590	108591	1083591	108592	1084592	108593	1086593	109594	1088594	109595	1090595	109596	1091596	109597	1093597	109598	1095598	109599	1097599	110600	1100600	110601	1101601	110602	1104602	110603	1106603	110604	1108604	111605	1110605	111606	1112606	111607	1114607	111608	1116608	112609	1118609	112610	1120610	112611	1122611	112612	1124612	112613	1126613	113614	1128614	113615	1130615	113616	1132616	113617	1134617	113618	1135618	113619	11373	6970
620	1139620	114621	1141621	114622	1143622	114623	1145623	114624	1147624	115625	1149625	115626	1151626	115627	1153627	115628	1155628	115629	11570	6795
630	1158630	116631	1159631	116632	11613	6733
633	11634	6716
634	11652	6697
635	11673	6680
636	11689	6661
637	11704	6641
638	11726	6624
639	11744	6606
640	11764	6588
641	1178641	118642	1180642	118643	11818	6533
644	1183644	118645	11862	6500
646	11883	6483
647	11905	6467
648	11927	6451
649	11947	6433
650	11969	6416
651	1198651	120652	12012	6383
653	1203653	120654	1205654	120655	1208655	121656	12110	6322
657	12127	6303
658	12147	6285
659	12166	6267
660	12186	6250
661	12204	6231
662	12221	6212
663	12241	6194
664	1225664	122665	1227665	123666	1229666	123667	1231667	123668	1233668	123669	1234669	123670	1236670	124671	1238671	124672	1239672	124673	1241673	124674	1243674	124675	1245675	124676	1246676	125677	1248677	125678	1250678	125679	1252679	125680	1254680	125681	1256681	126682	1257682	126683	1259683	126684	1261684	126685	1263685	126686	1265686	127687	1267687	127688	1269688	12752	5756
689	12769	5736
690	12787	5718
691	12802	5698
692	12819	5679
693	12835	5659
694	12851	5639
695	12869	5621
696	12887	5602
697	12906	5584
698	12924	5565
699	12942	5546
700	12961	5528
701	12977	5508
702	12994	5489
703	13009	5470
704	13026	5450
705	13041	5431
706	13058	5411
707	13074	5392
708	13093	5373
709	13111	5355
710	13126	5335
711	13144	5316
712	13159	5296
713	13176	5277
714	13194	5259
715	13210	5240
716	13226	5220
717	13244	5201
718	13259	5182
719	13275	5162
720	13291	5143
721	13308	5124
722	13327	5106
723	13343	5086
724	13359	5067
725	13375	5047
726	13391	5028
727	13407	5009
728	13426	4991
729	13441	4971
730	13458	4952
731	13475	4933
732	13491	4914
733	13508	4895
734	13525	4876
735	13543	4858
736	13559	4838
737	13576	4819
738	13593	4800
739	13612	4782
740	13627	4763
741	13642	4743
742	13658	4724
743	13674	4705
744	13689	4685
745	13705	4666
746	13721	4647
747	13738	4628
748	13754	4609
749	13770	4590
750	13786	4571
751	13805	4552
752	13819	4533
753	13836	4514
754	13851	4494
755	13869	4476
756	13884	4456
757	13901	4438
758	13917	4419
759	13933	4400
760	13949	4380
761	13965	4362
762	13981	4342
763	13998	4323
764	14012	4304
765	14033	4287
766	14048	4267
767	14063	4248
768	14080	4229
769	14094	4209
770	14109	4190
771	14123	4171
772	14139	4152
773	14155	4133
774	14171	4114
775	14188	4095
776	14204	4076
777	14221	4057
778	14237	4039
779	14253	4020
780	14269	4001
781	14286	3982
782	14304	3964
783	14321	3945
784	14337	3926
785	14355	3908
786	14371	3889
787	14386	3870
788	14405	3852
789	14421	3833
790	14438	3814
791	14457	3796
792	14474	3778
793	14490	3759
794	14505	3740
795	14521	3721
796	14539	3703
797	14556	3684
798	14571	3665
799	14587	3646
800	14603	3628
801	14619	3609
802	14635	3590
803	14651	3571
804	14667	3552
805	14682	3534
806	14699	3515
807	14715	3496
808	14732	3478
809	14749	3459
810	14766	3441
811	14783	3422
812	14798	3403
813	14814	3385
814	14831	3366
815	14848	3348
816	14866	3329
817	14882	3311
818	14898	3292
819	14914	3274
820	14931	3255
821	14948	3237
822	14964	3218
823	14982	3200
824	14997	3181
825	15014	3162
826	15032	3144
827	15049	3126
828	15067	3107
829	15089	3090
830	15108	3072
831	15126	3054
832	15148	3037
833	15170	3019
834	15191	3001
835	15208	2983
836	15230	2965
837	15262	2950
838	15286	2933
839	15307	2915
840	15327	2897
841	15346	2879
842	15365	2861
843	15384	2843
844	15403	2825
845	15422	2807
846	15443	2789
847	15462	2771
848	15489	2754
849	15507	2736
850	15526	2718
851	15544	2700
852	15562	2681
853	15581	2663
854	15599	2645
855	15617	2627
856	15635	2608
857	15656	2591
858	15675	2572
859	15691	2554
860	15710	2536
861	15725	2517
862	15743	2499
863	15760	2480
864	15779	2462
865	15800	2444
866	15818	2426
867	15840	2408
868	15857	2390
869	15876	2372
870	15891	2353
871	15904	2334
872	15923	2316
873	15938	2297
874	15957	2279
875	15977	2261
876	15991	2242
877	16010	2224
878	16029	2206
879	16047	2188
880	16067	2170
881	16087	2152
882	16106	2134
883	16124	2115
884	16141	2097
885	16162	2079
886	16182	2061
887	16201	2043
888	16218	2025
889	16237	2006
890	16256	1988
891	16277	1970
892	16298	1952
893	16320	1935
894	16338	1916
895	16357	1898
896	16376	1880
897	16396	1862
898	16418	1844
899	16438	1826
900	16457	1808
901	16476	1790
902	16494	1771
903	16511	1753
904	16531	1735
905	16549	1717
906	16564	1698
907	16580	1679
908	16601	1661
909	16619	1643
910	16636	1625
911	16654	1606
912	16672	1588
913	16691	1570
914	16710	1552
915	16730	1534
916	16747	1515
917	16766	1497
918	16785	1479
919	16803	1461
920	16821	1442
921	16837	1424
922	16853	1405
923	16871	1387
924	16887	1369
925	16903	1350
926	16918	1332
927	16933	1313
928	16949	1295
929	16966	1277
930	16984	1258
931	17001	1240
932	17016	1221
933	17032	1203
934	17051	1185
935	17069	1167
936	17083	1148
937	17098	1130
938	17114	1111
939	17129	1093
940	17144	1074
941	17162	1056
942	17177	1038
943	17191	1019
944	17212	1001
945	17232	983
946	17261	966
947	17281	947
948	17300	929
949	17320	911
950	17335	893
951	17351	874
952	17367	856
953	17385	838
954	17401	819
955	17418	801
956	17435	783
957	17449	765
958	17467	746
959	17484	728
960	17504	710
961	17521	692
962	17539	673
963	17557	655
964	17573	637
965	17593	619
966	17611	600
967	17632	582
968	17649	564
969	17666	546
970	17689	528
971	17709	510
972	17725	491
973	17741	473
974	17757	455
975	17772	437
976	17788	418
977	17803	400
978	17819	382
979	17838	364
980	17853	345
981	17870	327
982	17887	309
983	17904	291
984	17921	272
985	17940	254
986	17984	236
987	18016	218
988	18043	200
989	18061	182
990	18095	164
991	18128	146
992	18146	127
993	18163	109
994	18179	91
995	18193	73
996	18206	54
997	18216	36
998	18226	18
999	18236	0
